text,label
AI is transforming education,Public
Weather is sunny today,Public
Python is a programming language,Public
Public holiday announced,Public
Technology is evolving fast,Public
Internal project deadline is Friday,Internal
Team meeting at 10 AM,Internal
Company policy update,Internal
Staff training schedule,Internal
Internal audit report,Internal
My phone number is 9876543210,Confidential
Customer salary details,Confidential
Bank account information,Confidential
Employee financial data,Confidential
Client transaction history,Confidential
My Aadhaar is 123456789012,Restricted
My password is admin123,Restricted
Biometric scan data,Restricted
ATM PIN is 4321,Restricted
Confidential government ID,Restricted
AI is transforming education,Public
Weather is sunny today,Public
Python is a programming language,Public
Public holiday announced,Public
Technology is evolving fast,Public
Internal project deadline is Friday,Internal
Team meeting at 10 AM,Internal
Company policy update,Internal
Staff training schedule,Internal
Internal audit report,Internal
My phone number is 9876543210,Confidential
Customer salary details,Confidential
Bank account information,Confidential
Employee financial data,Confidential
Client transaction history,Confidential
My Aadhaar is 123456789012,Restricted
My password is admin123,Restricted
Biometric scan data,Restricted
ATM PIN is 4321,Restricted
Confidential government ID,Restricted
AI is transforming education,Public
Weather is sunny today,Public
Python is a programming language,Public
Public holiday announced,Public
Technology is evolving fast,Public
Internal project deadline is Friday,Internal
Team meeting at 10 AM,Internal
Company policy update,Internal
Staff training schedule,Internal
Internal audit report,Internal
My phone number is 9876543210,Confidential
Customer salary details,Confidential
Bank account information,Confidential
Employee financial data,Confidential
Client transaction history,Confidential
My Aadhaar is 123456789012,Restricted
My password is admin123,Restricted
Biometric scan data,Restricted
ATM PIN is 4321,Restricted
Confidential government ID,Restricted
AI is transforming education,Public
Weather is sunny today,Public
Python is a programming language,Public
Public holiday announced,Public
Technology is evolving fast,Public
Internal project deadline is Friday,Internal
Team meeting at 10 AM,Internal
Company policy update,Internal
Staff training schedule,Internal
Internal audit report,Internal
My phone number is 9876543210,Confidential
Customer salary details,Confidential
Bank account information,Confidential
Employee financial data,Confidential
Client transaction history,Confidential
My Aadhaar is 123456789012,Restricted
My password is admin123,Restricted
Biometric scan data,Restricted
ATM PIN is 4321,Restricted
Confidential government ID,Restricted
AI is transforming education,Public
Weather is sunny today,Public
Python is a programming language,Public
Public holiday announced,Public
Technology is evolving fast,Public
Internal project deadline is Friday,Internal
Team meeting at 10 AM,Internal
Company policy update,Internal
Staff training schedule,Internal
Internal audit report,Internal
My phone number is 9876543210,Confidential
Customer salary details,Confidential
Bank account information,Confidential
Employee financial data,Confidential
Client transaction history,Confidential
My Aadhaar is 123456789012,Restricted
My password is admin123,Restricted
Biometric scan data,Restricted
